customer_name,invoice_number,invoice_date,amount_due
taldue,"inv-3337
from",N/A,due
taldue,"inv-3337
from",N/A,due
taldue,inv-3337,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
sharvesh item,N/A,08/16/2005,00.00
sharvesh item,N/A,08/16/2005,00.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
taldue,inv-3337,N/A,85.00
N/A,inv-0012,13/7/2020,N/A
"test business
123 somewhere st
melbourne, vic 3000
test",number,N/A,85.00
N/A,inv-0012,13/7/2020,N/A
taldue,inv-3337,N/A,85.00
